Event,ExecTime(ms),VectorSize
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.85,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.68608,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.69,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.497315,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3543.04,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.80817,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.72,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.49585,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.93,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.697,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.72,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.500244,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.83,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.71121,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.64,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.495849,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.72,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.93,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.81599,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.64,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.497803,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.719,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3542.92,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.67382,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.74,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.497559,16777216,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,563.72,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7083.44,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,5.4758,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5949.28,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.980469,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1127.43,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7081.7,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.81688,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5949.19,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.980957,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1127.43,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7082.77,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.7458,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5949.33,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.982911,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1127.43,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7081.93,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.91915,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5949.34,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.980469,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1127.43,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7082.23,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.26973,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5949.27,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.980957,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1127.43,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7082.24,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.19075,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5949.32,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.982421,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1127.43,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7081.44,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.44144,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5949.32,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.97998,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1127.43,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7082.36,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.3728,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5949.31,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.980957,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1127.43,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7082.04,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.96204,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5949.38,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.982422,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1127.43,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7082.53,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.52598,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5949.31,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.982422,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1127.43,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7081.84,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.81718,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5949.35,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.980469,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1127.43,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7083.06,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,5.08435,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5949.31,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.979004,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1127.43,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7081.94,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.94985,33554432,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5949.3,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.984375,33554432,NVIDIA GeForce RTX 2080 Ti
