Event,ExecTime(ms),VectorSize,WorkGroupSize
Total Exec Time,2.8092,65536,1024
Memory Setup Time,2.59115,65536,1024
Kernel Exec Time,0.169985,65536,1024
Total Exec Time,2.52886,65536,1024
Memory Setup Time,2.30544,65536,1024
Kernel Exec Time,0.171007,65536,1024
Total Exec Time,3.41193,65536,1024
Memory Setup Time,3.18896,65536,1024
Kernel Exec Time,0.171008,65536,1024
Total Exec Time,2.6551,65536,1024
Memory Setup Time,2.43383,65536,1024
Kernel Exec Time,0.169984,65536,1024
Total Exec Time,2.55504,65536,1024
Memory Setup Time,2.33438,65536,1024
Kernel Exec Time,0.171007,65536,1024
Total Exec Time,2.69036,65536,1024
Memory Setup Time,2.46864,65536,1024
Kernel Exec Time,0.169983,65536,1024
Total Exec Time,3.24453,65536,1024
Memory Setup Time,3.02292,65536,1024
Kernel Exec Time,0.171007,65536,1024
Total Exec Time,1.98536,65536,1024
Memory Setup Time,1.76415,65536,1024
Kernel Exec Time,0.171007,65536,1024
Total Exec Time,2.71687,65536,1024
Memory Setup Time,2.49433,65536,1024
Kernel Exec Time,0.169984,65536,1024
Total Exec Time,2.51242,65536,1024
Memory Setup Time,2.29003,65536,1024
Kernel Exec Time,0.169983,65536,1024
Total Exec Time,2.30161,65536,1024
Memory Setup Time,2.08041,65536,1024
Kernel Exec Time,0.169983,65536,1024
Total Exec Time,2.00064,65536,1024
Memory Setup Time,1.7782,65536,1024
Kernel Exec Time,0.171009,65536,1024
Total Exec Time,2.37853,65536,1024
Memory Setup Time,2.15733,65536,1024
Kernel Exec Time,0.169983,65536,1024
Total Exec Time,1.92291,65536,1024
Memory Setup Time,1.70084,65536,1024
Kernel Exec Time,0.169985,65536,1024
Total Exec Time,2.10959,65536,1024
Memory Setup Time,1.88662,65536,1024
Kernel Exec Time,0.169985,65536,1024
Total Exec Time,2.24473,65536,1024
Memory Setup Time,2.02247,65536,1024
Kernel Exec Time,0.171009,65536,1024
Total Exec Time,2.37694,131072,1024
Memory Setup Time,2.15341,131072,1024
Kernel Exec Time,0.171007,131072,1024
Total Exec Time,2.14295,131072,1024
Memory Setup Time,1.91918,131072,1024
Kernel Exec Time,0.171007,131072,1024
Total Exec Time,2.50656,131072,1024
Memory Setup Time,2.2845,131072,1024
Kernel Exec Time,0.171007,131072,1024
Total Exec Time,2.53958,131072,1024
Memory Setup Time,2.31682,131072,1024
Kernel Exec Time,0.171007,131072,1024
