Event,ExecTime(ms),VectorSize,WorkGroupSize,Device
Memory Setup Time,3.54723,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009887,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.28183,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.13582,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.013216,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.78302,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.71086,4096,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010241,4096,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.20974,4096,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.06448,4096,32,NVIDIA GeForce RTX 2080 Ti
