Event,ExecTime(ms),VectorSize,WorkGroupSize,Device
Total Exec Time,1353.39,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,769.955,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,250.778,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,266.23,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,66.2253,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2643.33,268435456,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1514.18,268435456,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,541.391,268435456,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,455.244,268435456,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,132.398,268435456,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,5404.48,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2989.44,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1113.05,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,1037,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,264.781,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.94256,1024,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.095252,1024,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.518881,1024,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.00384,1024,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.037056,1024,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.294684,2048,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.048814,2048,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.1672,2048,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.003775,2048,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.037088,2048,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.311677,4096,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.042701,4096,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.164416,4096,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.031489,4096,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.036864,4096,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.395183,8192,1024,NVIDIA GeForce RTX 2080 Ti
